City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
80,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
83,Viedma,AR,86.43,clear sky,-40.8135,-62.9967,Hotel Cristal
84,East London,ZA,74.44,few clouds,-33.0153,27.9116,Tu Casa
85,Cape Town,ZA,76.12,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
88,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Florianopolis,BR,83.25,light rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
91,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
96,Cidreira,BR,80.4,clear sky,-30.1811,-50.2056,Hotel Castelo
99,Laguna,US,70.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
100,Snyder,US,77.14,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
104,Manokwari,ID,78.21,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
105,Buchanan,LR,80.6,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
106,Alice Springs,AU,85.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
107,Sassandra,CI,79.57,broken clouds,4.95,-6.0833,la terrasse
109,Flinders,AU,72.37,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
114,Arraial Do Cabo,BR,84.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
115,Samarai,PG,80.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
116,Richards Bay,ZA,73.11,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
120,El Tigre,VE,91.47,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
124,Cabo San Lucas,MX,94.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
125,Mananjary,MG,75.02,overcast clouds,-21.2167,48.3333,Vahiny Lodge
126,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
127,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
129,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
130,Mtwara,TZ,81.73,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
131,Port Alfred,ZA,74.3,broken clouds,-33.5906,26.891,The Halyards Hotel
132,Jacareacanga,BR,84.02,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
134,Kahului,US,78.06,clear sky,20.8947,-156.47,Maui Seaside Hotel
145,Zorgo,BF,81.79,broken clouds,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
150,Palotina,BR,89.65,broken clouds,-24.2839,-53.84,Hotel Granfino
151,Aloleng,PH,73.11,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
155,San Patricio,US,81.01,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
156,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,Scoop Guest House
157,Sinnamary,GF,81.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
160,Mbandaka,CD,79.39,overcast clouds,0.0487,18.2603,Guest House Epervier
162,Mazamitla,MX,72.86,clear sky,19.9167,-103.0333,Monteverde Hotel de Cabañas
168,Mubi,NG,76.42,scattered clouds,10.2676,13.2644,Hotel
169,Alta Floresta,BR,75.02,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
170,Sorong,ID,80.33,broken clouds,-0.8833,131.25,Waigo Splash Hotel
173,Chuy,UY,94.06,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
174,Juba,SS,80.1,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
189,Amuntai,ID,73.67,light rain,-2.4177,115.2494,Hotel Balqis
194,Trinidad,BO,85.98,scattered clouds,-14.8333,-64.9,Hotel Piesta
196,Port Elizabeth,ZA,76.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
199,Padang,ID,77.29,overcast clouds,-0.9492,100.3543,Mercure Padang
204,Areia Branca,BR,82.6,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
211,Faanui,PF,80.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
213,Sao Jose Da Coroa Grande,BR,79.84,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
215,Puerto Madryn,AR,88.09,clear sky,-42.7692,-65.0385,Hotel Tolosa
217,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
218,Ternate,ID,79.66,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
219,Kudahuvadhoo,MV,81.48,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
220,Bandarbeyla,SO,75.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
221,Caravelas,BR,80.38,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
222,Sola,VU,79.3,moderate rain,-13.8833,167.55,Leumerus Bungalows
224,Ulladulla,AU,72.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
225,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
226,Tupi Paulista,BR,88.16,broken clouds,-21.3811,-51.5706,Hotel São Bento
227,Karratha,AU,85.93,light rain,-20.7377,116.8463,ibis Styles Karratha
228,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
231,Tulagi,SB,80.92,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
232,Pyapon,MM,72.41,clear sky,16.2833,95.6833,Aung Naing Thu Motel
235,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
236,Roebourne,AU,86.13,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
237,Dingle,PH,72.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
245,Rantauprapat,ID,72.54,clear sky,2.1,99.8333,Permata Land Hotel & Resort
252,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
254,Las Choapas,MX,75.25,scattered clouds,17.9333,-94.0833,Hotel Jysmak
256,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
257,Guarenas,VE,87.64,broken clouds,10.4674,-66.6066,Grand Hotel
259,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
261,Alugan,PH,75.58,overcast clouds,12.2188,125.4808,JM Lodge
270,Savannah Bight,HN,82.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
271,Komatipoort,ZA,76.21,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
273,Ciudad Bolivar,VE,94.33,broken clouds,8.1222,-63.5497,Hotel Edi
274,Francistown,BW,70.16,light rain,-21.17,27.5079,Budget House
276,Lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
280,Mindelo,CV,71.15,clear sky,16.8901,-24.9804,Hotel Gaudi
