,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,104,Manokwari,ID,-0.8667,134.0833,78.21,81,100,5.37,moderate rain
105,105,Buchanan,LR,5.8808,-10.0467,80.6,80,99,8.03,overcast clouds
106,106,Alice Springs,AU,-23.7,133.8833,85.55,32,92,5.75,overcast clouds
107,107,Sassandra,CI,4.95,-6.0833,79.57,84,65,7.34,broken clouds
108,108,Thompson,CA,55.7435,-97.8558,-12.84,70,0,5.75,clear sky
109,109,Flinders,AU,-34.5833,150.8552,72.37,92,72,3.0,broken clouds
110,110,Hami,CN,42.8,93.45,24.17,52,80,4.72,broken clouds
111,111,Husavik,IS,66.0449,-17.3389,33.71,79,100,14.23,overcast clouds
112,112,Vostok,RU,46.4856,135.8833,-14.78,99,71,4.43,broken clouds
113,113,Siverskiy,RU,59.3544,30.0783,31.12,79,93,16.44,overcast clouds
114,114,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,20,11.5,few clouds
115,115,Samarai,PG,-10.6167,150.6667,80.13,81,87,11.21,overcast clouds
116,116,Richards Bay,ZA,-28.783,32.0377,73.11,92,36,3.67,light rain
117,117,Valreas,FR,44.3837,4.9908,40.91,69,0,5.39,clear sky
118,118,Narsaq,GL,60.9167,-46.05,16.02,69,11,10.58,few clouds
119,119,Esperance,AU,-33.8667,121.9,62.15,82,11,5.06,few clouds
120,120,El Tigre,VE,8.8875,-64.2454,91.47,32,72,6.69,broken clouds
121,121,Qaanaaq,GL,77.484,-69.3632,-1.89,90,100,1.54,overcast clouds
122,122,Beringovskiy,RU,63.05,179.3167,-5.06,74,1,20.49,clear sky
123,123,Gilleleje,DK,56.122,12.3106,37.94,87,5,12.62,clear sky
124,124,Cabo San Lucas,MX,22.8909,-109.9124,94.3,51,0,5.01,clear sky
125,125,Mananjary,MG,-21.2167,48.3333,75.02,92,100,5.46,overcast clouds
126,126,Puerto Escondido,MX,15.85,-97.0667,85.03,65,40,5.75,scattered clouds
127,127,Coahuayana,MX,18.7333,-103.6833,87.28,50,53,8.14,broken clouds
128,128,Kandiaro,PK,27.0601,68.2091,59.27,38,2,2.59,clear sky
129,129,Carnarvon,AU,-24.8667,113.6333,73.47,83,0,23.02,clear sky
130,130,Mtwara,TZ,-10.2667,40.1833,81.73,78,40,9.22,scattered clouds
131,131,Port Alfred,ZA,-33.5906,26.891,74.3,91,57,25.43,broken clouds
132,132,Jacareacanga,BR,-6.2222,-57.7528,84.02,73,99,1.34,heavy intensity rain
133,133,Tasiilaq,GL,65.6145,-37.6368,12.36,69,3,10.33,clear sky
134,134,Kahului,US,20.8947,-156.47,78.06,73,0,0.0,clear sky
135,135,Tiksi,RU,71.6872,128.8694,-21.84,97,89,5.86,overcast clouds
136,136,Saskylakh,RU,71.9167,114.0833,-33.68,98,10,8.68,clear sky
137,137,Severo-Kurilsk,RU,50.6789,156.125,32.72,95,100,45.07,light snow
138,138,Sorland,NO,67.667,12.6934,35.67,70,100,36.1,light rain
139,139,Sangar,RU,63.9242,127.4739,-33.07,100,100,1.41,overcast clouds
140,140,Bridlington,GB,54.0831,-0.1919,41.9,84,22,7.36,few clouds
141,141,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,106.38,15,30,8.81,scattered clouds
142,142,Miyako,JP,39.6367,141.9525,31.62,66,10,16.33,clear sky
143,143,Chokurdakh,RU,70.6333,147.9167,-29.54,100,35,6.85,scattered clouds
144,144,Porosozero,RU,62.7191,32.727,26.78,92,100,14.38,light snow
145,145,Zorgo,BF,12.2489,-0.6158,81.79,15,78,9.48,broken clouds
146,146,Tuatapere,NZ,-46.1333,167.6833,49.82,65,19,2.44,few clouds
147,147,Raudeberg,NO,61.9875,5.1352,37.2,80,95,4.56,overcast clouds
148,148,Marzuq,YE,14.4,46.4667,64.04,78,1,5.79,clear sky
149,149,Ahipara,NZ,-35.1667,173.1667,68.02,61,89,11.54,overcast clouds
150,150,Palotina,BR,-24.2839,-53.84,89.65,43,74,7.07,broken clouds
151,151,Aloleng,PH,16.1307,119.7824,73.11,75,0,7.4,clear sky
152,152,Nizwa,OM,22.9333,57.5333,63.14,57,0,3.09,clear sky
153,153,Suffolk,US,40.8668,-72.7996,43.18,69,100,18.01,overcast clouds
154,154,Aklavik,CA,68.2191,-135.0107,-17.57,97,100,6.67,overcast clouds
155,155,San Patricio,US,28.017,-97.5169,81.01,28,14,12.17,few clouds
156,156,Hithadhoo,MV,-0.6,73.0833,82.58,74,99,8.28,overcast clouds
157,157,Sinnamary,GF,5.3833,-52.95,81.03,78,92,8.52,overcast clouds
158,158,San Francisco,US,37.7749,-122.4194,65.59,64,40,1.99,scattered clouds
159,159,Ishigaki,JP,24.3448,124.1572,66.6,67,100,9.06,overcast clouds
160,160,Mbandaka,CD,0.0487,18.2603,79.39,65,100,2.93,overcast clouds
161,161,Goderich,CA,43.7501,-81.7165,13.91,66,76,13.8,broken clouds
162,162,Mazamitla,MX,19.9167,-103.0333,72.86,22,3,4.16,clear sky
163,163,Hasaki,JP,35.7333,140.8333,36.0,40,4,16.64,clear sky
164,164,Barra Patuca,HN,15.8,-84.2833,79.74,65,7,9.78,clear sky
165,165,Fuyu,CN,45.1833,124.8167,8.83,97,100,2.77,overcast clouds
