City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
20,Hilo,US,2022-01-04 21:34:52,19.7297,-155.09,81.1,68,1,0.0
21,Lompoc,US,2022-01-04 21:34:52,34.6391,-120.4579,67.84,64,40,14.97
22,Upernavik,GL,2022-01-04 21:34:52,72.7868,-56.1549,3.7,98,100,14.61
23,Pevek,RU,2022-01-04 21:34:53,69.7008,170.3133,16.34,83,84,13.33
24,Faanui,PF,2022-01-04 21:34:53,-16.4833,-151.75,80.06,72,25,2.39
25,Shelburne,CA,2022-01-04 21:30:05,44.0787,-80.2041,32.45,69,100,12.64
26,Touros,BR,2022-01-04 21:34:53,-5.1989,-35.4608,83.3,75,9,15.82
27,Sri Aman,MY,2022-01-04 21:34:54,1.2376,111.4621,75.25,94,91,0.0
28,Butaritari,KI,2022-01-04 21:34:54,3.0707,172.7902,82.58,61,100,9.19
29,Cayenne,GF,2022-01-04 21:30:06,4.9333,-52.3333,80.64,85,75,4.0
30,Padang,ID,2022-01-04 21:34:55,-0.9492,100.3543,73.45,87,88,3.71
31,Wuwei,CN,2022-01-04 21:34:55,37.9281,102.6414,22.1,50,15,5.7
32,Shu,KZ,2022-01-04 21:34:55,43.5983,73.7614,34.88,99,100,9.06
33,Muzhi,RU,2022-01-04 21:34:55,65.3667,64.6667,-10.37,86,100,13.96
34,Kapaa,US,2022-01-04 21:34:56,22.0752,-159.319,81.12,76,20,4.0
35,Bolshevik,BY,2022-01-04 21:34:56,54.0065,27.5692,37.02,98,100,13.31
36,Birjand,IR,2022-01-04 21:34:57,32.8663,59.2211,36.07,100,40,4.61
37,Vanimo,PG,2022-01-04 21:34:57,-2.6741,141.3028,78.24,88,100,5.06
38,Saskylakh,RU,2022-01-04 21:34:57,71.9167,114.0833,-43.06,96,32,9.4
39,Andenes,NO,2022-01-04 21:34:58,69.3143,16.1194,30.18,80,75,18.41
40,Lebu,CL,2022-01-04 21:34:58,-37.6167,-73.65,59.52,71,13,18.79
41,Sao Filipe,CV,2022-01-04 21:34:58,14.8961,-24.4956,74.32,64,79,3.91
42,Komsomolskiy,UZ,2022-01-04 21:34:58,40.4272,71.7189,39.92,81,40,0.0
43,San,ML,2022-01-04 21:34:59,13.3034,-4.8956,74.17,15,1,9.31
44,Cabo San Lucas,MX,2022-01-04 21:34:59,22.8909,-109.9124,81.7,68,1,5.01
45,Yellowknife,CA,2022-01-04 21:30:04,62.456,-114.3525,-20.58,91,90,10.36
46,Kutum,SD,2022-01-04 21:35:01,14.2,24.6667,55.13,30,13,8.28
47,Bandarbeyla,SO,2022-01-04 21:35:01,9.4942,50.8122,76.73,81,99,11.01
48,Dikson,RU,2022-01-04 21:35:01,73.5069,80.5464,-21.96,95,100,20.98
